#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2017-01-05-20-11-22
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1412262755.563496	CqE2vt12MZOWjwuv13	192.168.204.148	59453	192.168.204.2	53	udp	dns	0.486463	39	55	SF	-	-	0	Dd	1	67	1	83	(empty)
1412262763.908565	Cm9eq1DIasyB0mfWa	192.168.204.148	49877	148.251.56.156	80	tcp	http	3.021048	430	1531	SF	-	-	0	ShADadfF	6	682	5	1735	(empty)
1412262767.002350	CQUNLZ1LplTIOp2jD2	192.168.204.148	49878	148.251.56.156	80	tcp	http	0.780904	586	585	SF	-	-	0	ShADafF	5	798	4	749	(empty)
1412262763.604608	CkAQAL1MzyJRjaRZD1	192.168.204.148	52549	192.168.204.2	53	udp	dns	0.302920	27	43	SF	-	-	0	Dd	1	55	1	71	(empty)
1412262767.789738	CsFJFH1f9UjM5imN04	192.168.204.148	50117	192.168.204.2	53	udp	dns	0.190356	48	64	SF	-	-	0	Dd	1	76	1	92	(empty)
1412262772.069225	Ca8er81HMxqNp9S9Na	192.168.204.148	60767	192.168.204.2	53	udp	dns	0.146666	48	64	SF	-	-	0	Dd	1	76	1	92	(empty)
1412262782.174499	CcLNXkMEx8vrQgl17	192.168.204.148	49915	202.228.219.210	80	tcp	-	-	-	-	S0	-	-	0	S	1	52	0	0	(empty)
1412262782.392493	CcwEMe1KchgSs0GP74	192.168.204.148	49916	190.0.226.9	80	tcp	-	-	-	-	S0	-	-	0	S	1	52	0	0	(empty)
1412262782.392668	CwmA3Dq1tgc0m6e87	192.168.204.148	49917	67.225.140.40	80	tcp	-	-	-	-	S0	-	-	0	S	1	52	0	0	(empty)
1412262782.393053	Cmfemc162Iis1xexm4	192.168.204.148	49918	208.65.131.218	80	tcp	-	-	-	-	S0	-	-	0	S	1	52	0	0	(empty)
1412262777.523289	CC9z64S5XbbU5Hnv5	192.168.204.148	60812	192.168.204.2	53	udp	dns	0.335931	28	44	SF	-	-	0	Dd	1	56	1	72	(empty)
1412262777.523857	Csvcrv1cVHfPsH0qU2	192.168.204.148	51888	192.168.204.2	53	udp	dns	0.199312	29	45	SF	-	-	0	Dd	1	57	1	73	(empty)
1412262777.524238	CMH1xW7rppRy4Fird	192.168.204.148	49647	192.168.204.2	53	udp	dns	0.334996	27	43	SF	-	-	0	Dd	1	55	1	71	(empty)
1412262777.529527	CltofC25DZVXjDggKl	192.168.204.148	55558	192.168.204.2	53	udp	dns	0.465785	29	29	SF	-	-	0	Dd	1	57	1	57	(empty)
1412262777.532383	Cpjcwn4vXSkqoSlOOe	192.168.204.148	58639	192.168.204.2	53	udp	dns	0.326850	27	43	SF	-	-	0	Dd	1	55	1	71	(empty)
1412262777.535694	C7TDOu3DcQ2eBP75Dh	192.168.204.148	57617	192.168.204.2	53	udp	dns	0.599500	29	45	SF	-	-	0	Dd	1	57	1	73	(empty)
1412262777.573187	C3bqq54oH6fwyamvPd	192.168.204.148	61914	192.168.204.2	53	udp	dns	0.286050	27	43	SF	-	-	0	Dd	1	55	1	71	(empty)
1412262777.576835	CnB7Kh3mBMqdjoGDyg	192.168.204.148	53483	192.168.204.2	53	udp	dns	0.282438	29	45	SF	-	-	0	Dd	1	57	1	73	(empty)
